#phyloID	Country_color	Country
BD0003	#4daf4a	Bangladesh
CHRF_0012	#4daf4a	Bangladesh
CHRF_0015	#4daf4a	Bangladesh
CSF_0003	#4daf4a	Bangladesh
CSF_0004	#4daf4a	Bangladesh
CSF_0015	#4daf4a	Bangladesh
CSF_0016	#4daf4a	Bangladesh
CSF_0017	#4daf4a	Bangladesh
CSF_0018	#4daf4a	Bangladesh
CSF_0019	#4daf4a	Bangladesh
CSF_0020	#4daf4a	Bangladesh
CSF_0022	#4daf4a	Bangladesh
CSF_0023	#4daf4a	Bangladesh
CSF_0024	#4daf4a	Bangladesh
CSF_0026	#4daf4a	Bangladesh
CSF_0027	#4daf4a	Bangladesh
CSF_0028	#4daf4a	Bangladesh
CSF_0036	#4daf4a	Bangladesh
CSF_0037	#4daf4a	Bangladesh
CSF_0038	#4daf4a	Bangladesh
CSF_0039	#4daf4a	Bangladesh
CSF_0040	#4daf4a	Bangladesh
CSF_0041	#4daf4a	Bangladesh
CSF_0042	#4daf4a	Bangladesh
CSF_0043	#4daf4a	Bangladesh
CSF_0044	#4daf4a	Bangladesh
CSF_0045	#4daf4a	Bangladesh
CSF_0046	#4daf4a	Bangladesh
CSF_0047	#4daf4a	Bangladesh
CSF_0048	#4daf4a	Bangladesh
CSF_0049	#4daf4a	Bangladesh
CSF_0050	#4daf4a	Bangladesh
CSF_0051	#4daf4a	Bangladesh
CSF_0052	#4daf4a	Bangladesh
CSF_0053	#4daf4a	Bangladesh
CSF_0054	#4daf4a	Bangladesh
CSF_0055	#4daf4a	Bangladesh
CSF_0056	#4daf4a	Bangladesh
CSF_0057	#4daf4a	Bangladesh
CSF_0058	#4daf4a	Bangladesh
CSF_0059	#4daf4a	Bangladesh
CSF_0060	#4daf4a	Bangladesh
CSF_0061	#4daf4a	Bangladesh
CSF_0062	#4daf4a	Bangladesh
CSF_0063	#4daf4a	Bangladesh
CSF_0064	#4daf4a	Bangladesh
CSF_0065	#4daf4a	Bangladesh
CSF_0066	#4daf4a	Bangladesh
CSF_0067	#4daf4a	Bangladesh
CSF_0068	#4daf4a	Bangladesh
CSF_0069	#4daf4a	Bangladesh
CSF_0070	#4daf4a	Bangladesh
CSF_0071	#4daf4a	Bangladesh
CSF_0072	#4daf4a	Bangladesh
CSF_0073	#4daf4a	Bangladesh
CSF_0074	#4daf4a	Bangladesh
CSF_0075	#4daf4a	Bangladesh
CSF_0076	#4daf4a	Bangladesh
CSF_0077	#4daf4a	Bangladesh
CSF_0090	#4daf4a	Bangladesh
CSF_0091	#4daf4a	Bangladesh
CSF_0092	#4daf4a	Bangladesh
CSF_0093	#4daf4a	Bangladesh
CSF_0094	#4daf4a	Bangladesh
CSF_0095	#4daf4a	Bangladesh
CSF_0096	#4daf4a	Bangladesh
CSF_0097	#4daf4a	Bangladesh
CSF_0098	#4daf4a	Bangladesh
CSF_0099	#4daf4a	Bangladesh
CSF_0100	#4daf4a	Bangladesh
CSF_0101	#4daf4a	Bangladesh
DQ873386	#f781bf	USA
DQ873387	#f781bf	USA
DQ873388	#f781bf	USA
DQ873389	#f781bf	USA
EU175855	#984ea3	Germany
EU175856	#984ea3	Germany
EU200667	#e41a1c	China
EU546204	#984ea3	Germany
EU546205	#984ea3	Germany
EU546206	#984ea3	Germany
EU546207	#984ea3	Germany
EU546210	#984ea3	Germany
EU546211	#984ea3	Germany
HQ593530	#ffff33	India
HQ593531	#ffff33	India
HQ593532	#ffff33	India
JN183922	#ff7f00	Ghana
JN798193	#377eb8	Coted'Ivoire
JN798194	#377eb8	Coted'Ivoire
JN798195	#377eb8	Coted'Ivoire
JN798196	#377eb8	Coted'Ivoire
KJ541119	#ffff33	India
KJ541120	#ffff33	India
KJ541121	#ffff33	India
KM390024	#ffff33	India
KM390025	#ffff33	India
KU871314	#a65628	South Africa
KU871315	#a65628	South Africa
MZ820170	#ffff33	India
MZ820171	#ffff33	India
AY622943	#f781bf	USA
DQ873390	#6a3d9a	Europe and North America
DQ873391	#6a3d9a	Europe and North America
EU874248	#b15928	Sub-Sarahan Africa
JN183921	#cab2d6	Ghana
JN183925	#cab2d6	Ghana
JN798192	#377eb8	Coted'Ivoire
