#phyloID	Country_color	Country	In_TPRV_Global
CHRF_BD0003	#4daf4a	Bangladesh	CHRF_BD0003
CSF_0003	#4daf4a	Bangladesh	CSF_0003
CSF_0004	#4daf4a	Bangladesh	CSF_0004
CSF_0015	#4daf4a	Bangladesh	CSF_0015
CSF_0016	#4daf4a	Bangladesh	CSF_0016
CSF_0017	#4daf4a	Bangladesh	CSF_0017
CSF_0018	#4daf4a	Bangladesh	CSF_0018
CSF_0019	#4daf4a	Bangladesh	CSF_0019
CSF_0020	#4daf4a	Bangladesh	CSF_0020
CSF_0022	#4daf4a	Bangladesh	CSF_0022
CSF_0023	#4daf4a	Bangladesh	CSF_0023
CSF_0024	#4daf4a	Bangladesh	CSF_0024
CSF_0026	#4daf4a	Bangladesh	CSF_0026
CSF_0027	#4daf4a	Bangladesh	CSF_0027
CSF_0028	#4daf4a	Bangladesh	CSF_0028
CSF_0036	#4daf4a	Bangladesh	CSF_0036
CSF_0037	#4daf4a	Bangladesh	CSF_0037
CSF_0038	#4daf4a	Bangladesh	CSF_0038
CSF_0039	#4daf4a	Bangladesh	CSF_0039
CSF_0040	#4daf4a	Bangladesh	CSF_0040
CSF_0041	#4daf4a	Bangladesh	CSF_0041
CSF_0042	#4daf4a	Bangladesh	CSF_0042
CSF_0043	#4daf4a	Bangladesh	CSF_0043
CSF_0044	#4daf4a	Bangladesh	CSF_0044
CSF_0045	#4daf4a	Bangladesh	CSF_0045
CSF_0046	#4daf4a	Bangladesh	CSF_0046
CSF_0047	#4daf4a	Bangladesh	CSF_0047
CSF_0048	#4daf4a	Bangladesh	CSF_0048
CSF_0049	#4daf4a	Bangladesh	CSF_0049
CSF_0050	#4daf4a	Bangladesh	CSF_0050
CSF_0051	#4daf4a	Bangladesh	CSF_0051
CSF_0052	#4daf4a	Bangladesh	CSF_0052
CSF_0053	#4daf4a	Bangladesh	CSF_0053
CSF_0054	#4daf4a	Bangladesh	CSF_0054
CSF_0055	#4daf4a	Bangladesh	CSF_0055
CSF_0056	#4daf4a	Bangladesh	CSF_0056
CSF_0057	#4daf4a	Bangladesh	CSF_0057
CSF_0058	#4daf4a	Bangladesh	CSF_0058
CSF_0059	#4daf4a	Bangladesh	CSF_0059
CSF_0060	#4daf4a	Bangladesh	CSF_0060
CSF_0061	#4daf4a	Bangladesh	CSF_0061
CSF_0062	#4daf4a	Bangladesh	CSF_0062
CSF_0063	#4daf4a	Bangladesh	CSF_0063
CSF_0064	#4daf4a	Bangladesh	CSF_0064
CSF_0065	#4daf4a	Bangladesh	CSF_0065
CSF_0066	#4daf4a	Bangladesh	CSF_0066
CSF_0067	#4daf4a	Bangladesh	CSF_0067
CSF_0068	#4daf4a	Bangladesh	CSF_0068
CSF_0069	#4daf4a	Bangladesh	CSF_0069
CSF_0070	#4daf4a	Bangladesh	CSF_0070
CSF_0071	#4daf4a	Bangladesh	CSF_0071
CSF_0072	#4daf4a	Bangladesh	CSF_0072
CSF_0073	#4daf4a	Bangladesh	CSF_0073
CSF_0074	#4daf4a	Bangladesh	CSF_0074
CSF_0075	#4daf4a	Bangladesh	CSF_0075
CSF_0076	#4daf4a	Bangladesh	CSF_0076
CSF_0077	#4daf4a	Bangladesh	CSF_0077
DQ873386	#f781bf	USA	DQ873386
DQ873387	#f781bf	USA	DQ873387
DQ873388	#f781bf	USA	DQ873388
DQ873389	#f781bf	USA	DQ873389
EU175855	#984ea3	Germany	EU175855
EU175856	#984ea3	Germany	EU175856
EU200667	#e41a1c	China	EU200667
EU546204	#984ea3	Germany	EU546204
EU546205	#984ea3	Germany	EU546205
EU546206	#984ea3	Germany	EU546206
EU546207	#984ea3	Germany	EU546207
EU546210	#984ea3	Germany	EU546210
EU546211	#984ea3	Germany	EU546211
HQ593530	#ffff33	India	HQ593530
HQ593531	#ffff33	India	HQ593531
HQ593532	#ffff33	India	HQ593532
JN183922	#ff7f00	Ghana	JN183922
JN798193	#377eb8	Coted'Ivoire	JN798193
JN798194	#377eb8	Coted'Ivoire	JN798194
JN798195	#377eb8	Coted'Ivoire	JN798195
JN798196	#377eb8	Coted'Ivoire	JN798196
KJ541119	#ffff33	India	KJ541119
KJ541120	#ffff33	India	KJ541120
KJ541121	#ffff33	India	KJ541121
KM390024	#ffff33	India	KM390024
KM390025	#ffff33	India	KM390025
KU871314	#a65628	South Africa	KU871314
KU871315	#a65628	South Africa	KU871315
MZ820170	#ffff33	India	MZ820170
MZ820171	#ffff33	India	MZ820171
AY622943	#f781bf	USA	AY622943
DQ873390	#6a3d9a	Europe and North America	DQ873390
DQ873391	#6a3d9a	Europe and North America	DQ873391
EU874248	#b15928	Sub-Sarahan Africa	EU874248
JN183921	#cab2d6	Ghana	JN183921
JN183925	#cab2d6	Ghana	JN183925
JN798192	#377eb8	Coted'Ivoire	JN798192
