#phyloID	year_color	Year
CHRF_BD0003.1	#fdd0a2	2018
CHRF_0012	#192b83	2017
CHRF_0015	#192b83	2017
CSF_0003	#e6550d	2021
CSF_0004	#e6550d	2021
CSF_0015	#a63603	2022
CSF_0016	#a63603	2022
CSF_0017	#a63603	2022
CSF_0018	#fd8d3c	2020
CSF_0019	#fd8d3c	2020
CSF_0020	#a63603	2022
CSF_0022	#e6550d	2021
CSF_0023	#e6550d	2021
CSF_0024	#fd8d3c	2020
CSF_0026	#fd8d3c	2020
CSF_0027	#fd8d3c	2020
CSF_0028	#fd8d3c	2020
CSF_0036	#fdae6b	2019
CSF_0037	#fdae6b	2019
CSF_0038	#fdd0a2	2018
CSF_0039	#fdd0a2	2018
CSF_0040	#fd8d3c	2020
CSF_0041	#e6550d	2021
CSF_0042	#e6550d	2021
CSF_0043	#a63603	2022
CSF_0044	#a63603	2022
CSF_0045	#e6550d	2021
CSF_0046	#e6550d	2021
CSF_0047	#e6550d	2021
CSF_0048	#e6550d	2021
CSF_0049	#fd8d3c	2020
CSF_0050	#e6550d	2021
CSF_0051	#fd8d3c	2020
CSF_0052	#fd8d3c	2020
CSF_0053	#fd8d3c	2020
CSF_0054	#fd8d3c	2020
CSF_0055	#fdae6b	2019
CSF_0056	#fdae6b	2019
CSF_0057	#fdae6b	2019
CSF_0058	#fdae6b	2019
CSF_0059	#fdae6b	2019
CSF_0060	#fdd0a2	2018
CSF_0061	#fdd0a2	2018
CSF_0062	#fdd0a2	2018
CSF_0063	#fdd0a2	2018
CSF_0064	#feedde	2017
CSF_0065	#feedde	2017
CSF_0066	#a63603	2022
CSF_0067	#feedde	2017
CSF_0068	#feedde	2017
CSF_0069	#feedde	2017
CSF_0070	#feedde	2017
CSF_0071	#fdd0a2	2018
CSF_0072	#a63603	2022
CSF_0073	#a63603	2022
CSF_0074	#fdd0a2	2018
CSF_0075	#fdae6b	2019
CSF_0076	#fdae6b	2019
CSF_0077	#fdae6b	2019
DQ873386.1	#3690c0	2005
DQ873387.1	#3690c0	2005
DQ873388.1	#3690c0	2005
DQ873389.1	#3690c0	2005
EU175855.1	#74a9cf	2006
EU175856.1	#74a9cf	2006
EU200667.1	#74a9cf	2006
EU546204.1	#034e7b	1980
EU546205.1	#034e7b	1980
EU546206.1	#034e7b	1980
EU546207.1	#034e7b	1980
EU546210.1	#0570b0	2002
EU546211.1	#0570b0	2002
HQ593530.1	#74a9cf	2006
HQ593531.1	#74a9cf	2006
HQ593532.1	#3690c0	2005
JN183922.1	#3690c0	2005
JN798193.1	#a6bddb	2007
JN798194.1	#a6bddb	2007
JN798195.1	#a6bddb	2007
JN798196.1	#a6bddb	2007
KJ541119.1	#3690c0	2005
KJ541120.1	#3690c0	2005
KJ541121.1	#3690c0	2005
KM390024.1	#d0d1e6	2012
KM390025.1	#d0d1e6	2012
KU871314.1	#f1eef6	2015
KU871315.1	#f1eef6	2015
MZ820170.1	#fdd0a2	2018
MZ820171.1	#fdd0a2	2018
CSF_0090	#f1eef6	2015
CSF_0091	#f1eef6	2015
CSF_0092	#f1eef6	2015
CSF_0093	#f1eef6	2015
CSF_0094	#f1eef6	2015
CSF_0095	#c59f7f	2016
CSF_0096	#c59f7f	2016
CSF_0097	#c59f7f	2016
CSF_0098	#c59f7f	2016
CSF_0099	#c59f7f	2016
CSF_0100	#c59f7f	2016
CSF_0101	#c59f7f	2016
AY622943.1	#3690c0	2005
DQ873390.1	#a6bddb	2007
DQ873391.1	#a6bddb	2007
EU874248.1	#41db52	2008
JN183921.1	#d0d1e6	2012
JN183925.1	#d0d1e6	2012
JN798192.1	#d0d1e6	2012
