ID	Type
BD0003	2017-2019
CHRF_0012	2017-2019
CHRF_0015	2017-2019
CSF_0003	2020-2022
CSF_0004	2020-2022
CSF_0015	2020-2022
CSF_0016	2020-2022
CSF_0017	2020-2022
CSF_0018	2020-2022
CSF_0019	2020-2022
CSF_0020	2020-2022
CSF_0022	2020-2022
CSF_0023	2020-2022
CSF_0024	2020-2022
CSF_0026	2020-2022
CSF_0027	2020-2022
CSF_0028	2020-2022
CSF_0036	2017-2019
CSF_0037	2017-2019
CSF_0038	2017-2019
CSF_0039	2017-2019
CSF_0040	2020-2022
CSF_0041	2020-2022
CSF_0042	2020-2022
CSF_0043	2020-2022
CSF_0044	2020-2022
CSF_0045	2020-2022
CSF_0046	2020-2022
CSF_0047	2020-2022
CSF_0048	2020-2022
CSF_0049	2020-2022
CSF_0050	2020-2022
CSF_0051	2020-2022
CSF_0052	2020-2022
CSF_0053	2020-2022
CSF_0054	2020-2022
CSF_0055	2017-2019
CSF_0056	2017-2019
CSF_0057	2017-2019
CSF_0058	2017-2019
CSF_0059	2017-2019
CSF_0060	2017-2019
CSF_0061	2017-2019
CSF_0062	2017-2019
CSF_0063	2017-2019
CSF_0064	2017-2019
CSF_0065	2017-2019
CSF_0066	2020-2022
CSF_0067	2017-2019
CSF_0068	2017-2019
CSF_0069	2017-2019
CSF_0070	2017-2019
CSF_0071	2017-2019
CSF_0072	2020-2022
CSF_0073	2020-2022
CSF_0074	2017-2019
CSF_0075	2017-2019
CSF_0076	2017-2019
CSF_0077	2017-2019
DQ873386.1	1980-2005
DQ873387.1	1980-2005
DQ873388.1	1980-2005
DQ873389.1	1980-2005
EU175855.1	2006-2008
EU175856.1	2006-2008
EU200667.1	2006-2008
EU546204.1	1980-2005
EU546205.1	1980-2005
EU546206.1	1980-2005
EU546207.1	1980-2005
EU546210.1	1980-2005
EU546211.1	1980-2005
HQ593530.1	2006-2008
HQ593531.1	2006-2008
HQ593532.1	1980-2005
JN183922.1	1980-2005
JN798193.1	2006-2008
JN798194.1	2006-2008
JN798195.1	2006-2008
JN798196.1	2006-2008
KJ541119.1	1980-2005
KJ541120.1	1980-2005
KJ541121.1	1980-2005
KM390024.1	2012-2016
KM390025.1	2012-2016
KU871314.1	2012-2016
KU871315.1	2012-2016
MZ820170.1	2017-2019
MZ820171.1	2017-2019
CSF_0090	2012-2016
CSF_0091	2012-2016
CSF_0092	2012-2016
CSF_0093	2012-2016
CSF_0094	2012-2016
CSF_0095	2012-2016
CSF_0096	2012-2016
CSF_0097	2012-2016
CSF_0098	2012-2016
CSF_0099	2012-2016
CSF_0100	2012-2016
CSF_0101	2012-2016
AY622943.1	1980-2005
DQ873390.1	2006-2008
DQ873391.1	2006-2008
EU874248.1	2006-2008
JN183921.1	2012-2016
JN183925.1	2012-2016
JN798192.1	2012-2016
