#phyloID	Color
BD0003	#edf8fb
CHRF_0012	#edf8fb
CHRF_0015	#edf8fb
CSF_0003	#b2e2e2
CSF_0004	#b2e2e2
CSF_0015	#b2e2e2
CSF_0016	#b2e2e2
CSF_0017	#b2e2e2
CSF_0018	#b2e2e2
CSF_0019	#b2e2e2
CSF_0020	#b2e2e2
CSF_0022	#b2e2e2
CSF_0023	#b2e2e2
CSF_0024	#b2e2e2
CSF_0026	#b2e2e2
CSF_0027	#b2e2e2
CSF_0028	#b2e2e2
CSF_0036	#edf8fb
CSF_0037	#edf8fb
CSF_0038	#edf8fb
CSF_0039	#edf8fb
CSF_0040	#b2e2e2
CSF_0041	#b2e2e2
CSF_0042	#b2e2e2
CSF_0043	#b2e2e2
CSF_0044	#b2e2e2
CSF_0045	#b2e2e2
CSF_0046	#b2e2e2
CSF_0047	#b2e2e2
CSF_0048	#b2e2e2
CSF_0049	#b2e2e2
CSF_0050	#b2e2e2
CSF_0051	#b2e2e2
CSF_0052	#b2e2e2
CSF_0053	#b2e2e2
CSF_0054	#b2e2e2
CSF_0055	#edf8fb
CSF_0056	#edf8fb
CSF_0057	#edf8fb
CSF_0058	#edf8fb
CSF_0059	#edf8fb
CSF_0060	#edf8fb
CSF_0061	#edf8fb
CSF_0062	#edf8fb
CSF_0063	#edf8fb
CSF_0064	#edf8fb
CSF_0065	#edf8fb
CSF_0066	#b2e2e2
CSF_0067	#edf8fb
CSF_0068	#edf8fb
CSF_0069	#edf8fb
CSF_0070	#edf8fb
CSF_0071	#edf8fb
CSF_0072	#b2e2e2
CSF_0073	#b2e2e2
CSF_0074	#edf8fb
CSF_0075	#edf8fb
CSF_0076	#edf8fb
CSF_0077	#edf8fb
DQ873386.1	#66c2a4
DQ873387.1	#66c2a4
DQ873388.1	#66c2a4
DQ873389.1	#66c2a4
EU175855.1	#2ca25f
EU175856.1	#2ca25f
EU200667.1	#2ca25f
EU546204.1	#66c2a4
EU546205.1	#66c2a4
EU546206.1	#66c2a4
EU546207.1	#66c2a4
EU546210.1	#66c2a4
EU546211.1	#66c2a4
HQ593530.1	#2ca25f
HQ593531.1	#2ca25f
HQ593532.1	#66c2a4
JN183922.1	#66c2a4
JN798193.1	#2ca25f
JN798194.1	#2ca25f
JN798195.1	#2ca25f
JN798196.1	#2ca25f
KJ541119.1	#66c2a4
KJ541120.1	#66c2a4
KJ541121.1	#66c2a4
KM390024.1	#006d2c
KM390025.1	#006d2c
KU871314.1	#006d2c
KU871315.1	#006d2c
MZ820170.1	#edf8fb
MZ820171.1	#edf8fb
CSF_0090	#006d2c
CSF_0091	#006d2c
CSF_0092	#006d2c
CSF_0093	#006d2c
CSF_0094	#006d2c
CSF_0095	#006d2c
CSF_0096	#006d2c
CSF_0097	#006d2c
CSF_0098	#006d2c
CSF_0099	#006d2c
CSF_0100	#006d2c
CSF_0101	#006d2c
AY622943.1	#66c2a4
DQ873390.1	#2ca25f
DQ873391.1	#2ca25f
EU874248.1	#2ca25f
JN183921.1	#006d2c
JN183925.1	#006d2c
JN798192.1	#006d2c
