ID	Type	Color
BD0003	Bangladesh	
CHRF_0012	Bangladesh	
CHRF_0015	Bangladesh	
CSF_0003	Bangladesh	
CSF_0004	Bangladesh	
CSF_0015	Bangladesh	
CSF_0016	Bangladesh	
CSF_0017	Bangladesh	
CSF_0018	Bangladesh	
CSF_0019	Bangladesh	
CSF_0020	Bangladesh	
CSF_0022	Bangladesh	
CSF_0023	Bangladesh	
CSF_0024	Bangladesh	
CSF_0026	Bangladesh	
CSF_0027	Bangladesh	
CSF_0028	Bangladesh	
CSF_0036	Bangladesh	
CSF_0037	Bangladesh	
CSF_0038	Bangladesh	
CSF_0039	Bangladesh	
CSF_0040	Bangladesh	
CSF_0041	Bangladesh	
CSF_0042	Bangladesh	
CSF_0043	Bangladesh	
CSF_0044	Bangladesh	
CSF_0045	Bangladesh	
CSF_0046	Bangladesh	
CSF_0047	Bangladesh	
CSF_0048	Bangladesh	
CSF_0049	Bangladesh	
CSF_0050	Bangladesh	
CSF_0051	Bangladesh	
CSF_0052	Bangladesh	
CSF_0053	Bangladesh	
CSF_0054	Bangladesh	
CSF_0055	Bangladesh	
CSF_0056	Bangladesh	
CSF_0057	Bangladesh	
CSF_0058	Bangladesh	
CSF_0059	Bangladesh	
CSF_0060	Bangladesh	
CSF_0061	Bangladesh	
CSF_0062	Bangladesh	
CSF_0063	Bangladesh	
CSF_0064	Bangladesh	
CSF_0065	Bangladesh	
CSF_0066	Bangladesh	
CSF_0067	Bangladesh	
CSF_0068	Bangladesh	
CSF_0069	Bangladesh	
CSF_0070	Bangladesh	
CSF_0071	Bangladesh	
CSF_0072	Bangladesh	
CSF_0073	Bangladesh	
CSF_0074	Bangladesh	
CSF_0075	Bangladesh	
CSF_0076	Bangladesh	
CSF_0077	Bangladesh	
CSF_0090	Bangladesh	
CSF_0091	Bangladesh	
CSF_0092	Bangladesh	
CSF_0093	Bangladesh	
CSF_0094	Bangladesh	
CSF_0095	Bangladesh	
CSF_0096	Bangladesh	
CSF_0097	Bangladesh	
CSF_0098	Bangladesh	
CSF_0099	Bangladesh	
CSF_0100	Bangladesh	
CSF_0101	Bangladesh	
DQ873386	USA	
DQ873387	USA	
DQ873388	USA	
DQ873389	USA	
EU175855	Germany	
EU175856	Germany	
EU200667	China	
EU546204	Germany	
EU546205	Germany	
EU546206	Germany	
EU546207	Germany	
EU546210	Germany	
EU546211	Germany	
HQ593530	India	
HQ593531	India	
HQ593532	India	
JN183922	Ghana	
JN798193	Coted'Ivoire	
JN798194	Coted'Ivoire	
JN798195	Coted'Ivoire	
JN798196	Coted'Ivoire	
KJ541119	India	
KJ541120	India	
KJ541121	India	
KM390024	India	
KM390025	India	
KU871314	South Africa	
KU871315	South Africa	
MZ820170	India	
MZ820171	India	
AY622943	USA	
DQ873390	Europe and North America	
DQ873391	Europe and North America	
EU874248	Sub-Sarahan Africa	
JN183921	Ghana	
JN183925	Ghana	
JN798192	Coted'Ivoire	
