ID	Type	Color
AY622943	1	
CHRF_BD0003	2	
CHRF_0012	2	
CHRF_0015	1,2	
CSF_0003	2	
CSF_0004	2	
CSF_0015	2	
CSF_0016	2	
CSF_0017	2	
CSF_0018	2	
CSF_0019	2	
CSF_0020	2	
CSF_0022	2	
CSF_0023	2	
CSF_0024	2	
CSF_0026	2	
CSF_0027	2	
CSF_0028	2	
CSF_0036	2	
CSF_0037	2	
CSF_0038	2	
CSF_0039	2	
CSF_0040	2	
CSF_0041	2	
CSF_0042	2	
CSF_0043	2	
CSF_0044	2	
CSF_0045	2	
CSF_0046	2	
CSF_0047	2	
CSF_0048	2	
CSF_0049	2	
CSF_0050	2	
CSF_0051	2	
CSF_0052	2	
CSF_0053	2	
CSF_0054	2	
CSF_0055	2	
CSF_0056	2	
CSF_0057	2	
CSF_0058	2	
CSF_0059	2	
CSF_0060	2	
CSF_0061	2	
CSF_0062	2	
CSF_0063	2	
CSF_0064	2	
CSF_0065	2	
CSF_0066	2	
CSF_0067	2	
CSF_0068	2	
CSF_0069	2	
CSF_0070	2	
CSF_0071	2	
CSF_0072	2	
CSF_0073	2	
CSF_0074	2	
CSF_0075	2	
CSF_0076	2	
CSF_0077	2	
CSF_0090	2	
CSF_0091	2	
CSF_0092	2	
CSF_0093	1,2	
CSF_0094	2	
CSF_0095	2	
CSF_0096	2	
CSF_0097	2	
CSF_0098	2	
CSF_0099	2	
CSF_0100	2	
CSF_0101	2	
DQ873386	1	
DQ873387	1	
DQ873388	1	
DQ873389	1	
DQ873390	2	
DQ873391	2	
EU175855	2	
EU175856	1	
EU200667	1	
EU546204	1	
EU546205	2	
EU546206	2	
EU546207	2	
EU546210	1	
EU546211	1	
EU874248	3	
HQ593530	2	
HQ593531	2	
HQ593532	2	
JN183921	3	
JN183922	3	
JN183925	3	
JN798192	3	
JN798193	3	
JN798194	3	
JN798195	3	
JN798196	3	
KJ541119	2	
KJ541120	2	
KJ541121	2	
KM390024	2	
KM390025	2	
KU871314	3	
KU871315	3	
MZ820170	2	
MZ820171	2	
